original_Institution_Name,original_Branch_Name,original_Address,lat,lon,suburb
"Wells Fargo Bank, National Association",LSG LOS ANGELES PB OFFICE,707 Wilshire Blvd,34.0492822,-118.256963,Downtown
"JPMorgan Chase Bank, National Association",LOS FELIZ AND SENECA AVE BRANCH,2915 Los Feliz Blvd,34.12567183,-118.2645597,
"JPMorgan Chase Bank, National Association",OLYMPIC AND NORMANDIE BRANCH,2970 W Olympic Blvd,34.05254433,-118.2994091,Koreatown
"Citibank, National Association",WILSHIRE AND WESTWOOD BRANCH,10900 Wilshire Blvd,34.05833715,-118.4440653,Westwood
"Citibank, National Association",PRIVATE BANK BRANCH - LOS ANGELES BRANCH,300 S Grand Ave,34.052874,-118.251217,Downtown
First Foundation Bank,WESTWOOD OFFICE,10850 Wilshire Blvd,34.0590883,-118.4411891,Westwood
Banner Bank,LOS ANGELES BRANCH,7182 Beverly Blvd,34.07607543,-118.3458899,Fairfax
"JPMorgan Chase Bank, National Association",FIRST AND SAN PEDRO BANKING CENTER,100 S San Pedro St,34.0501641,-118.2408677,Downtown
Open Bank,AROMA BRANCH,3680 Wilshire Blvd,34.061631,-118.305493,Koreatown
Open Bank,FASHION DISTRICT BRANCH,"747 E. 10th Street, #310 & 311",34.03503708,-118.2504215,Downtown
Bank of Hope,OLYMPIC WESTERN,3267 W Olympic Blvd,34.052725,-118.307567,Koreatown
Valley National Bank,LOS ANGELES BRANCH,555 W 5th St,34.04991716,-118.2533706,Downtown
"JPMorgan Chase Bank, National Association",VENICE AND SAN VICENTE BRANCH,4550 W Pico Blvd,34.047521,-118.33693,Mid-Wilshire
Banc of California,LOS ANGELES - LOAN PRODUCTION OFFICE,601 S Figueroa St Ste 1850,34.05077785,-118.2593021,Downtown
U.S. Bank National Association,LOS ANGELES - ABRAHAM LINCOLN HS,3501 N Broadway,34.073892,-118.203755,Lincoln Heights
U.S. Bank National Association,LOS ANGELES-CRENSHAW HIGH SCHOOL BRANCH,5010 11th Ave,33.99801616,-118.329265,Hyde Park
First Western Trust Bank,FIRST WESTERN TRUST BANK CENTURY CITY BRANCH,1901 Avenue Of The Stars,34.05995964,-118.4169618,Century City
"Wells Fargo Bank, National Association",EAGLE ROCK BRANCH,7315 N Figueroa St,34.1368314,-118.1895023,
"JPMorgan Chase Bank, National Association",CENTRAL AND SLAUSON,5857 S Central Ave,33.9879522,-118.257156,South Park
"Wells Fargo Bank, National Association",KOREATOWN BRANCH,3150 Wilshire Blvd,34.0613794,-118.2912663,Koreatown
Open Bank,OLYMPIC BRANCH,3030 W Olympic Blvd,34.052532,-118.301922,Koreatown
Citizens Business Bank,CENTURY CITY BRANCH,1900 Avenue Of The Stars,34.05997107,-118.4169732,Century City
"BNY Mellon, National Association",CENTURY CITY OFFICE BRANCH,2029 Century Park E,34.05970749,-118.4132069,Century City
Open Bank,WESTERN BRANCH,550 S Western Ave,34.06440751,-118.3089969,Koreatown
Wallis Bank,WALL STREET BRANCH,855 Wall St,34.03942331,-118.2512862,Downtown
PCB Bank,WESTERN OFFICE,450 S Western Ave,34.06622102,-118.3090039,Koreatown
PCB Bank,LITTLE TOKYO BRANCH,333 S Alameda St,34.0455235,-118.2385537,Downtown
"Wells Fargo Bank, National Association",SILVER LAKE BRANCH,2544 Glendale Blvd,34.10360621,-118.2591045,
"Wells Fargo Bank, National Association",8TH & GRAND BRANCH,750 S Grand Ave,34.0466095,-118.2569522,Downtown
US Metro Bank,WILSHIRE BRANCH,3580 Wilshire Blvd Ste 101,34.061646,-118.3029771,Koreatown
Commonwealth Business Bank,COMMONWEALTH BUSINESS BANK OLYMPIC BRANCH,3121 W Olympic Blvd,34.05268833,-118.3037643,Koreatown
US Metro Bank,DOWNTOWN LA,807 E 12th St,34.03246829,-118.2506162,Fashion District
Bank OZK,LOS ANGELES RESG,1999 Avenue Of The Stars,34.058658,-118.416144,Century City
City National Bank,CRENSHAW DISTRICT BRANCH,3739 Crenshaw Blvd,34.01921767,-118.3351966,Crenshaw
MidFirst Bank,DOWNTOWN LOS ANGELES BRANCH,1320 E 7th St,34.0365686,-118.2410236,Downtown
"JPMorgan Chase Bank, National Association",GRAND AND 11TH,1050 S Grand Ave,34.04220986,-118.2612299,Downtown
Commercial Bank of California,LOS ANGELES BRANCH,915 Wilshire Blvd,34.05029057,-118.259435,Downtown
"EverBank, National Association",KOREATOWN BRANCH,3640 Wilshire Blvd,34.0616368,-118.3045318,Koreatown
Poppy Bank,LOS ANGELES/WESTWOOD,10861 Weyburn Ave,34.0633324,-118.4439456,Westwood
American Business Bank,American Business Bank,400 S Hope St,34.0515586,-118.2532114,Downtown
City National Bank,HOLLYWOOD BRANCH,1601 Vine St,34.100517,-118.326771,Hollywood
"Wells Fargo Bank, National Association",CRENSHAW & SLAUSON BRANCH,3290 W Slauson Ave,33.98893849,-118.3291816,Hyde Park
First IC Bank,LA BRANCH,3345 Wilshire Blvd Ste 10,34.0620573,-118.2962675,Koreatown
First-Citizens Bank & Trust Company,JORDAN DOWNS BRANCH,9950 Laurel St,33.9482784,-118.230608,
Banc of California,BRENTWOOD BRANCH,11611 San Vicente Blvd,34.05361273,-118.4622459,Brentwood
"California Bank of Commerce, National Association",WEST L.A. BRANCH,1640 S Sepulveda Blvd Ste 130,34.04855554,-118.4449471,Sawtelle
"JPMorgan Chase Bank, National Association",LA LIVE BRANCH,1200 S Figueroa St,34.0413588,-118.2667579,Downtown
Citizens Business Bank,CENTURY CITY BUSINESS FINANCIAL CENTER BRANCH,1880 Century Park E,34.06155388,-118.4145605,Century City
"JPMorgan Chase Bank, National Association",WESTWOOD VILLAGE BRANCH,10929 Wilshire Blvd,34.05861677,-118.4448058,Westwood
East West Bank,DOWNTOWN LOS ANGELES BRANCH,888 W 6th St,34.05066863,-118.2584066,Downtown
US Metro Bank,OLYMPIC BRANCH,2800 W. Olympic Blvd.,34.052567,-118.294898,Pico-Union
Mechanics Bank,HOLLYWOOD BLVD. BRANCH,4850 Hollywood Blvd. Suite R5,34.1015014,-118.295701,
Southwestern National Bank,WILSHIRE BRANCH,"3530 Wilshire Boulevard, Suite #1520",34.06165269,-118.3017696,Koreatown
"Sunflower Bank, National Association",LOS ANGELES CENTURY PARK BRANCH,1888 Century Park E,34.06142942,-118.4144527,Century City
PCB Bank,PCB BANK WESTERN BRANCH,928 S. Western Ave.,34.054562,-118.30896,Koreatown
Columbia Bank,CRENSHAW FINANCIAL HUB BRANCH,3000 Crenshaw Blvd,34.027498,-118.335001,
"Hana Bank USA, National Association",LOS ANGELES BRANCH,3194 W Olympic Blvd,34.0525115,-118.3060709,Koreatown
BMO Bank National Association,LOS ANGELES-6200 W SUNSET BLVD BRANCH,6200 W Sunset Blvd,34.097929,-118.323867,Hollywood
BMO Bank National Association,LOS ANGELES - 8492 SOUTH VERMONT AVENUE BRANCH,8492 S Vermont Ave,33.96140465,-118.2913509,Vermont Knolls
BMO Bank National Association,LOS ANGELES - 8492 SOUTH VERMONT AVENUE BRANCH,8492 S Vermont Ave,33.96140465,-118.2913509,Vermont Knolls
BMO Bank National Association,LOS ANGELES-6200 W SUNSET BLVD BRANCH,6200 W Sunset Blvd Ste 1110,34.097929,-118.323867,Hollywood
